person_id,dq2_1,dq2_2,dq2_3,dq2_4,dq2_5,dq2_6,dq2_7,dq2_8,dq2_9,dq2_10,dq3_1,dq3_2,dq3_3,dq4_1,dq4_2,dq4_3,dq4_4,dq5_1,dq5_2,dq5_3,dq5_4,dq5_5,dq5_6,dq6_1,dq6_2,dq6_3,dq7_1,dq7_2,dq7_3,dq7_4,dq8_1,dq8_2,dq8_3,dq8_4,dq8_5,dq9_1,dq9_2,dq9_3,dq9_4,dq10_1,dq10_2,dq16,dq22_1,dq22_2,dq22_3,dq22_4,dq22_5,dq22_6,dq23_1,dq23_2,dq23_3,dq23_4
30,1,1,5,3,5,1,1,1,1,1,4,1,3,1,4,4,1,3,2,1,2,3,3,1,1,1,4,4,4,4,5,5,2,5,5,5,5,5,5,3,1,1,3,5,4,4,5,5,2,1,4,4
31,5,1,5,3,1,1,1,1,1,1,4,1,1,1,4,4,1,3,1,3,1,3,1,1,1,1,4,4,4,4,5,5,5,5,5,5,2,5,5,3,1,3,3,5,5,5,5,5,3,3,4,4
32,1,1,5,1,5,1,1,3,3,1,4,1,3,4,4,4,4,4,1,4,1,4,3,5,1,1,4,4,4,4,5,5,5,5,5,5,3,5,5,2,3,3,5,5,3,3,3,5,2,1,4,4
33,1,1,4,1,1,5,4,2,1,1,4,4,1,2,4,1,1,3,1,2,1,3,2,1,1,1,3,3,3,3,5,5,5,3,3,5,5,2,3,3,1,2,4,5,5,3,4,5,3,3,3,3
34,1,1,1,1,4,5,1,2,5,1,1,1,1,4,1,1,4,3,1,3,1,3,1,2,5,1,3,4,2,4,2,5,5,5,5,3,5,3,5,1,4,1,3,5,5,3,3,5,3,3,4,4
35,5,1,5,5,5,5,1,1,5,1,4,4,1,4,4,4,1,1,1,3,1,3,1,5,5,1,3,1,4,3,5,5,5,4,5,5,1,5,4,3,4,2,4,3,4,5,4,4,1,3,1,3
36,1,1,5,1,5,5,1,1,5,1,4,1,3,1,1,4,1,1,2,1,1,1,1,1,1,5,4,3,3,3,5,5,4,3,3,5,4,2,1,3,3,1,4,5,3,5,4,5,2,3,1,3
37,1,1,4,1,5,5,1,3,1,1,4,4,2,1,1,4,1,2,1,1,1,4,1,1,1,1,4,1,3,4,1,5,4,5,5,5,5,5,3,3,1,2,5,3,5,5,2,5,1,1,3,4
38,4,1,4,3,4,5,1,1,1,3,1,4,1,1,1,4,4,1,1,1,2,2,1,1,1,1,2,1,3,1,5,3,3,5,3,5,2,5,1,3,1,1,5,5,4,5,4,4,3,1,3,3
39,1,1,5,1,1,1,1,3,3,1,4,1,3,4,4,4,4,3,1,3,1,3,3,1,1,1,4,4,3,4,5,5,5,5,5,5,3,5,5,3,3,3,5,3,1,5,5,5,2,1,3,4
40,5,1,5,1,1,5,5,1,1,5,4,4,1,1,4,2,1,1,3,3,1,3,1,1,5,4,3,4,3,4,5,5,4,5,1,5,5,2,5,1,1,3,3,3,5,5,5,5,1,3,3,3
41,4,1,5,3,4,5,1,4,4,1,4,4,1,2,4,1,1,3,1,1,1,3,1,1,2,5,3,1,1,2,3,5,5,4,5,3,5,2,3,1,3,2,5,3,3,4,5,3,1,3,3,3
42,1,2,5,5,1,1,1,5,1,1,1,4,1,1,1,4,4,3,2,2,1,3,1,1,1,1,3,4,4,4,5,5,5,5,5,5,5,5,3,3,3,1,5,5,5,4,5,5,3,3,4,4
43,5,1,5,2,1,1,1,3,1,1,4,2,3,1,4,4,4,1,3,1,4,3,3,1,1,5,4,4,4,4,5,5,5,5,5,5,4,5,5,1,3,3,4,5,4,5,4,5,3,3,3,3
44,1,1,3,5,1,5,1,5,5,1,4,4,3,1,1,1,1,3,4,2,3,3,3,1,1,1,4,4,3,4,5,5,5,5,5,3,5,5,5,2,3,3,5,5,3,5,5,5,3,4,4,4
45,5,1,1,5,5,5,1,5,1,1,4,4,1,1,1,4,1,1,2,3,1,3,1,5,1,1,4,1,3,3,3,5,5,4,5,5,3,5,5,1,3,2,3,3,5,3,3,3,2,3,1,3
46,5,1,1,1,5,5,1,1,1,1,4,4,1,1,1,4,4,2,1,3,1,2,3,1,1,1,2,1,1,1,3,3,1,4,5,3,2,1,1,1,1,3,3,5,3,5,4,5,2,2,3,3
47,3,1,5,1,4,1,1,1,1,1,2,1,1,1,4,4,1,3,1,3,1,3,2,1,2,1,4,4,4,2,5,5,5,5,5,3,5,5,5,1,1,2,4,5,5,5,5,4,3,3,3,3
48,1,4,4,5,1,2,1,1,5,1,3,4,1,1,4,4,1,3,3,1,3,3,2,1,3,1,4,4,4,4,5,5,5,5,5,2,5,5,5,3,2,2,5,4,4,5,5,5,3,3,4,4
49,1,1,5,1,1,1,1,1,5,1,4,4,1,1,4,4,2,2,1,1,1,2,1,1,1,1,4,4,4,4,1,5,4,5,1,5,5,4,5,3,3,2,5,3,4,5,5,5,3,3,3,3
50,1,1,4,1,4,5,1,1,1,1,4,4,1,1,1,1,1,1,1,3,1,3,1,1,1,1,4,3,1,3,2,5,3,5,5,5,5,2,1,1,3,3,5,4,3,3,4,3,1,3,3,3
51,5,1,5,1,5,5,1,3,1,1,4,4,3,1,1,1,4,1,1,3,1,4,2,1,1,1,3,1,3,4,1,5,3,3,2,2,1,3,5,1,3,3,5,5,5,5,5,5,1,1,4,3
52,1,1,5,3,5,5,1,1,4,1,1,4,1,1,1,4,1,1,1,2,1,3,2,5,1,1,3,1,3,4,4,5,4,5,5,5,5,1,3,1,3,2,4,2,5,5,3,3,1,1,4,3
53,3,5,5,5,1,3,1,3,1,1,4,4,1,1,1,4,1,3,1,1,3,3,3,1,1,5,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,2,5,5,5,1,5,3,3,3,4,4
54,5,1,5,1,1,5,1,1,1,1,4,4,4,1,4,4,4,3,3,1,1,4,3,1,1,1,4,3,4,4,5,3,5,4,5,5,5,5,5,1,3,2,3,4,5,3,5,5,3,4,4,4
55,1,1,4,5,1,3,1,3,5,1,4,4,2,1,4,4,4,1,2,2,4,4,4,1,1,1,4,4,4,4,5,5,5,5,5,5,5,5,5,1,4,3,5,5,5,3,5,5,4,3,3,3
56,1,1,1,2,5,4,4,3,5,1,1,4,1,1,4,4,1,2,1,1,1,3,1,1,3,1,3,3,1,3,1,5,4,4,5,5,5,5,2,3,4,2,3,4,4,5,3,4,1,1,1,3
57,5,1,4,5,3,5,1,2,4,3,3,4,1,1,1,4,3,3,1,2,1,2,1,1,3,5,3,1,2,1,1,5,5,4,5,5,3,2,5,1,3,1,3,5,3,5,5,5,3,3,4,3
58,1,1,5,1,1,5,1,1,1,1,4,4,1,1,4,4,1,2,1,3,3,2,1,1,1,1,3,4,4,4,5,5,4,4,3,2,5,1,5,1,3,3,3,5,3,3,4,5,3,3,4,3
59,4,1,1,4,5,5,1,1,1,1,3,4,1,4,1,1,2,1,1,2,1,3,1,4,1,1,4,1,1,3,5,4,1,4,4,5,2,5,5,3,3,2,5,5,5,4,5,5,1,1,3,1
60,1,2,5,4,4,5,1,5,1,1,4,4,1,4,2,4,4,3,3,3,1,3,3,1,5,5,4,1,4,4,5,5,4,5,4,5,3,1,2,4,3,3,5,5,4,5,4,4,3,3,1,3
61,1,1,5,1,5,3,1,1,1,1,4,4,1,1,1,4,1,3,1,3,1,3,1,1,5,1,1,1,3,1,1,4,1,3,3,3,3,2,5,1,1,2,5,5,3,5,3,3,1,1,1,2
62,1,1,3,1,5,5,5,1,1,1,4,2,1,3,4,4,1,1,3,3,1,2,3,1,1,1,2,4,3,4,4,5,5,5,1,5,3,5,5,2,4,2,3,5,5,5,3,5,1,4,4,3
63,1,1,4,5,5,5,1,5,1,1,4,4,4,4,4,4,1,1,1,3,1,4,1,1,5,1,3,4,2,3,5,5,3,4,4,3,5,4,1,4,3,2,2,4,3,1,4,5,3,1,1,3
64,1,1,5,5,5,5,1,1,5,1,4,4,1,1,4,4,4,2,1,2,1,3,3,5,3,1,4,4,3,4,5,5,4,4,5,3,5,5,5,3,4,3,3,3,4,5,3,5,3,3,3,3
65,1,1,5,5,5,3,1,5,1,1,4,4,4,1,1,1,4,1,1,3,1,2,3,1,3,1,1,1,4,1,1,3,4,3,4,2,1,1,1,1,1,3,3,4,4,5,3,4,2,1,3,1
66,1,5,5,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,1,1,3,2,3,1,1,1,3,3,1,4,1,5,3,3,5,3,2,2,5,1,2,2,3,5,3,4,4,4,1,1,3,3
67,1,1,5,5,5,5,1,5,5,4,4,4,1,1,4,4,1,1,1,1,1,2,1,5,1,1,1,1,4,2,5,5,3,3,3,2,1,5,5,3,3,3,3,3,3,3,5,3,1,3,3,3
68,1,1,5,1,5,1,1,3,5,1,4,4,1,1,4,4,4,3,3,2,3,1,1,1,5,1,4,3,2,3,5,5,3,5,5,2,5,5,2,3,3,3,4,3,4,4,4,5,2,3,3,4
69,1,1,4,1,5,1,1,1,1,1,4,4,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,2,1,3,3,2,1,2,3,1,2,1,1,3,4,5,5,5,2,5,1,1,1,1
70,4,1,5,1,5,5,1,1,4,5,4,4,1,1,1,1,4,3,2,1,3,4,1,1,1,1,1,1,4,4,1,5,5,3,3,5,2,2,1,1,1,3,5,5,5,5,2,4,1,3,4,1
71,5,1,5,3,1,5,1,1,5,1,1,4,1,1,4,4,4,3,1,1,3,4,2,3,3,1,4,3,3,3,5,5,5,5,5,5,5,3,5,1,3,2,3,3,4,5,4,5,1,3,4,3
72,1,1,5,5,4,5,1,3,5,5,4,4,3,1,4,1,4,3,1,1,3,1,1,1,3,1,3,2,3,4,3,5,5,5,4,5,5,5,5,1,3,1,5,3,3,5,5,3,1,3,3,3
73,1,1,5,1,1,1,1,1,1,1,4,4,3,4,4,4,4,2,1,1,3,3,3,1,1,1,4,4,4,4,5,5,5,5,3,5,3,2,5,1,2,2,5,5,5,3,4,5,1,3,3,4
74,1,1,1,5,1,5,1,1,1,1,4,4,1,1,1,4,1,4,1,1,1,4,1,4,5,1,1,1,1,4,4,5,5,5,4,5,3,3,5,3,4,3,3,5,3,4,1,5,3,3,4,1
75,1,1,5,1,5,5,4,1,1,1,4,4,4,1,1,1,2,3,1,1,1,4,1,1,1,1,1,1,4,4,1,5,5,4,4,3,3,2,1,1,1,3,2,4,5,4,5,5,1,3,2,3
76,1,1,5,1,4,5,1,5,5,1,4,4,1,1,4,1,1,1,1,1,1,3,1,1,1,5,3,1,2,3,1,5,4,4,5,5,5,5,1,2,1,,4,3,5,3,3,4,1,3,1,1
77,1,1,5,1,4,5,1,1,5,1,1,4,4,1,4,1,4,1,1,3,1,3,1,4,4,1,3,1,2,3,5,5,2,4,4,2,2,5,2,3,3,2,5,5,4,4,5,5,1,3,3,3
78,2,1,5,1,4,5,1,3,5,1,4,4,1,1,1,4,4,3,2,1,2,3,3,1,1,1,2,3,3,3,3,5,4,3,1,5,1,2,1,1,1,2,4,3,3,3,3,5,2,3,3,3
79,5,1,5,1,1,1,1,1,3,1,4,4,1,1,4,4,1,3,1,3,4,3,3,1,1,1,1,4,3,4,5,5,5,5,5,5,5,5,5,3,1,1,3,5,5,3,3,3,3,3,3,4
80,5,1,5,1,1,1,1,1,1,3,4,4,1,1,4,4,4,3,1,3,1,3,3,1,1,1,4,4,3,4,5,5,5,5,5,5,5,5,5,3,1,1,5,5,1,3,4,4,3,3,3,4
81,1,4,1,5,1,1,1,1,5,1,4,4,1,1,4,4,4,2,2,1,1,3,3,1,3,1,4,4,4,4,5,5,5,5,5,5,5,5,5,1,3,2,5,4,5,4,5,5,3,3,4,4
82,1,1,5,1,2,4,1,1,1,1,4,4,1,1,1,1,1,3,1,3,1,2,1,1,1,1,1,1,1,1,1,4,5,5,3,5,1,1,5,1,1,3,4,4,5,4,3,5,1,1,3,1
83,1,1,5,3,5,3,1,1,5,1,4,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,4,4,1,5,3,3,1,5,3,1,5,3,3,1,3,3,3,5,1,5,3,3,3,3
84,1,1,4,4,5,3,1,5,1,5,4,1,1,1,4,1,1,3,1,1,1,3,2,1,1,1,4,3,3,1,5,5,4,3,3,5,5,5,1,2,1,2,5,5,5,4,4,1,2,1,3,3
85,5,1,5,1,4,3,1,4,5,1,4,4,1,2,1,4,4,1,1,3,1,3,1,5,3,1,1,1,3,3,5,5,3,3,2,5,5,3,3,3,3,2,3,4,3,4,4,4,1,2,1,3
86,1,1,4,2,4,5,1,1,1,1,4,4,1,1,1,4,1,1,1,2,1,3,2,1,1,1,3,1,3,1,2,4,4,3,1,2,1,5,2,1,3,3,4,5,4,3,3,5,1,3,3,3
87,1,1,5,4,5,5,1,4,5,5,4,1,1,1,1,1,2,3,1,1,3,2,1,4,2,1,3,1,3,2,5,5,4,5,5,5,5,1,5,1,3,1,3,5,4,5,3,4,3,1,3,1
88,1,1,1,3,5,5,1,1,5,1,4,4,1,1,4,1,1,2,1,1,1,3,1,5,1,1,1,4,1,3,4,5,5,5,5,5,5,1,5,1,3,3,5,3,1,5,4,3,1,3,4,3
89,1,1,1,5,1,1,1,5,5,5,4,3,1,1,1,4,1,4,1,3,2,2,1,5,3,1,3,1,4,3,5,5,4,5,5,5,5,3,5,3,4,3,1,4,4,5,4,5,3,1,1,3
90,1,1,4,1,1,5,1,1,1,1,4,4,1,1,1,1,1,2,2,1,1,1,3,1,2,1,4,3,2,4,1,5,5,5,1,5,5,3,5,2,3,1,3,4,5,5,5,5,1,3,3,3
91,1,4,5,5,1,5,5,1,1,1,4,4,1,1,4,1,1,1,1,1,1,3,1,1,1,1,3,4,4,3,1,5,4,5,5,5,4,5,3,3,4,1,5,4,5,3,5,3,1,3,3,4
92,1,1,1,1,4,3,1,1,4,1,4,4,1,1,1,1,1,2,1,1,2,2,1,1,4,1,1,3,3,2,2,5,3,5,4,5,2,1,5,1,3,1,3,5,5,5,3,5,1,1,4,3
93,1,1,5,1,5,5,1,5,5,1,4,4,1,4,1,4,1,2,1,1,1,3,2,5,5,1,4,3,1,4,5,5,5,5,5,5,5,3,3,3,3,1,3,3,4,4,5,1,3,1,1,1
94,5,1,5,3,5,5,1,4,1,1,4,1,1,4,4,4,4,3,1,3,1,2,1,1,5,1,2,1,4,1,3,5,3,4,4,5,3,5,5,3,3,3,4,5,3,3,3,3,3,3,2,3
95,1,1,5,3,5,3,1,3,1,4,4,4,1,1,1,4,4,3,1,1,4,2,1,1,5,1,3,4,2,3,3,5,5,5,5,5,5,5,5,3,3,3,4,4,3,3,5,5,3,3,3,4
96,1,1,5,1,5,5,1,1,1,1,4,4,1,1,1,2,4,1,1,1,2,2,1,1,1,1,1,1,3,1,1,4,3,3,3,5,1,1,3,1,1,2,5,5,4,4,5,5,1,1,4,3
97,1,1,5,3,5,5,3,1,4,1,4,4,1,1,1,4,1,1,2,1,1,3,2,1,1,1,4,1,3,3,5,5,4,3,4,3,3,3,3,1,3,2,3,3,4,5,3,3,1,1,3,1
98,1,1,5,1,1,1,1,3,3,1,4,4,3,1,4,1,4,3,1,4,,3,3,1,1,1,4,4,4,3,5,5,5,5,3,5,5,5,5,3,3,2,3,5,5,3,4,5,1,3,3,4
99,5,1,5,5,5,3,1,3,1,1,4,4,1,1,1,4,1,3,1,3,1,3,3,1,1,5,4,4,4,4,5,5,5,5,5,5,5,5,5,3,3,3,5,5,3,5,4,5,3,3,3,4
